"DisplayName","UserPrincipalName","AccountEnabled","Licensed","LicenseCount","LicenseSkus"
"Amiel  Franc","aFranc@GovBec.onmicrosoft.com","True","False","0",""
"Amina Hadzic","AminaH@GovBec.onmicrosoft.com","True","False","0",""
"Andre Lawson","AndreL@GovBec.onmicrosoft.com","True","False","0",""
"Bidisha Patowary","BidishaP@GovBec.onmicrosoft.com","True","True","1","AAD_PREMIUM_P2"
"Chris Green","ChrisG@GovBec.onmicrosoft.com","True","False","0",""
"Edita Gabryte","EditaG@GovBec.onmicrosoft.com","True","False","0",""
"JM","JoshMyers@GovBec.onmicrosoft.com","True","False","0",""
"Jurgis Zukas","JurgisZ@GovBec.onmicrosoft.com","True","False","0",""
"KG","KiyellGroves@GovBec.onmicrosoft.com","True","False","0",""
"KB","KonorBaker@GovBec.onmicrosoft.com","True","False","0",""
"Goverment Bec","lamontjames@GovBec.onmicrosoft.com","False","False","0",""
"Lejla Selimagic","LejlaS@GovBec.onmicrosoft.com","True","False","0",""
"Lamont James","lJames@GovBec.onmicrosoft.com","True","True","1","O365_BUSINESS_PREMIUM"
"Malik Barden","MalikB@GovBec.onmicrosoft.com","True","False","0",""
"Michael King","MichaelKing@GovBec.onmicrosoft.com","True","True","1","AAD_PREMIUM_P2"
"Monica Thomson","MonicaT@GovBec.onmicrosoft.com","True","False","0",""
"New PW User","newuser@GovBec.onmicrosoft.com","True","False","0",""
"Omar Bennett","OmarB@GovBec.onmicrosoft.com","True","False","0",""
"tester","testjoiner1@GovBec.onmicrosoft.com","True","False","0",""
"Test User","testuser2@GovBec.onmicrosoft.com","True","False","0",""
"Test User 3","testuser3@GovBec.onmicrosoft.com","True","False","0",""
"Test User 4","testuser4@GovBec.onmicrosoft.com","True","False","0",""
"Test User 5","testuser5@GovBec.onmicrosoft.com","True","True","1","O365_BUSINESS_PREMIUM"
